benefits_n_reviews,benefits_rating,ceo_score,company,cotype,culture_score,employee_count,end_date,founded,industry,interview_difficulty,interview_n_reviews,location,negative_xp,neutral_xp,number_reviews,positive_xp,recommendation,revenue,reviewscon,reviewspro,start_date,ticker,website,year
79,3.7,98,Smile Brands, Company - Private,4.6,5001 to 10000 employees,10/21/18, 1998, Health Care Services & Hospitals, 2.2,73,"Irvine, CA",10,15,935,75,94, $500 million to $1 billion (USD) per year,No cons in all the time I have worked here Still would love to see 401K match,They also provide great benefits which allow employees to have flexibility with their working schedule Having a Culture that promotes Smiles For Everyone makes it easy to get involved with helping the less fortunate,10/23/17,,www.smilebrands.com,
97,4.3,97,Lawrence Livermore National Laboratory, Government,4.7,5001 to 10000 employees,10/21/18, 1952, Federal Agencies, 2.9,120,"Livermore, CA",7,10,552,83,95, $1 to $2 billion (USD) per year,Some processes are slower due to red tape Cost of living in this area is high and the salary is average,Promote a good work life balance A great place for a long term career,10/23/17,,www.llnl.gov,
397,4.2,88,Trader Joe's, Company - Private,4.2,10000+ employees,10/21/18, 1967, Grocery Stores & Supermarkets, 2.3,811,"Monrovia, CA",11,17,2765,72,84, $10+ billion (USD) per year,Management is not a diverse representation of the crew members Mates captains sometimes pick favorites which leads to distrust in the store,Awesome place to work and great benefits Work environment is stellar I ve been working there for 6 years,10/23/17,,www.traderjoes.com,
20,4.2,99,Sammons Financial Group, Company - Private,4.8,1001 to 5000 employees,10/21/18, 1996, Insurance Carriers, 2.8,11,"West Des Moines, IA",9,18,243,73,97, $1 to $2 billion (USD) per year,There are no cons to working at Sammons None come to mind at this point,Employees are treated well with a great work life balance You don t feel like just a number here at SFG,10/23/17,,www.sammonsfinancialgroup.com,
74,4.0,94,"Ryan, LLC", Company - Private,4.2,1001 to 5000 employees,10/21/18, 1991, Accounting, 2.7,146,"Dallas, TX",20,10,740,70,87, $100 to $500 million (USD) per year,Work Life balance can be a challenge because of commitment to customer success Top leadership principals can at times be inattentive to needs of lower level leadership and teams,My Ryan is an excellent program for work life balance Flexible work environment with tons of opportunity,10/23/17,,www.ryan.com,
135,4.1,93,Paylocity, Company - Public (PCTY) ,4.2,1001 to 5000 employees,10/21/18, 1997, Computer Hardware & Software, 2.9,246,"Schaumburg, IL",18,9,1052,73,83, $100 to $500 million (USD) per year,Still a new growing comapany with some growing pains but other than that I have no complaints There is no Cons to working at Paylocity,Good place to work to achieve work life balance The amount of money you can make at Paylocity is almost a little hard to believe especially considering you get to work from home,10/23/17,PCTY,www.paylocity.com,
238,4.8,97,McKinsey & Company, Company - Private,4.5,10000+ employees,10/21/18, 1926, Consulting, 3.8,"2,214","New York, NY",13,21,3584,66,91, Unknown / Non-Applicable,Can require long hours at times Work life balance is absolutely brutal,Working with incredibly smart people who are always pushing you to get to a better answer Great people truly global opportunities,10/23/17,,www.mckinsey.com,
223,4.8,96,Ultimate Software, Company - Private,4.5,5001 to 10000 employees,10/21/18, 1990, Enterprise Software & Network Solutions, 2.9,368,"Weston, FL",21,11,1063,68,91, $500 million to $1 billion (USD) per year,There are no cons at Ultimate Software At times there is no work life balance,People First in every sense of the words this company has great benefits,10/23/17,,www.ultimatesoftware.com,
154,4.2,97,DocuSign, Company - Public (DOCU) ,4.6,1001 to 5000 employees,10/21/18, 2003, Computer Hardware & Software, 2.8,337,"San Francisco, CA",38,14,999,48,89, $500 million to $1 billion (USD) per year,Some growing pains around processes 401K match needed once we go public,DocuSign really lives up to the expectations for company culture amp work life balance DocuSign hits the trifecta great team great product and great work,10/23/17,DOCU,www.docusign.com,
104,4.6,98,HubSpot, Company - Public (HUBS) ,4.7,1001 to 5000 employees,10/21/18, 2006, Computer Hardware & Software, 3.3,867,"Cambridge, MA",23,15,976,62,96, $100 to $500 million (USD) per year,Tough to strike a work life balance sometimes Fast growth creates some growing pains like needing to develop new managers leaders,unlimited vacation PTO use good judgement Good focus on work life balance,10/23/17,HUBS,www.hubspot.com,
127,4.0,97,Power Home Remodeling, Company - Private,4.6,1001 to 5000 employees,10/21/18, 1992, Construction, 2.4,378,"Chester, PA",19,17,1644,64,91, $500 million to $1 billion (USD) per year,The schedule can be very demanding at times with late nights so a work life balance can be tricky the only downside is the long hours but that s about it,Amazing earning potential just an overall great place to work This is the most positive work environment that I have ever come across in all my years of employment,10/23/17,,www.powerhrg.com,
187,3.4,95,Slalom, Company - Private,4.3,5001 to 10000 employees,10/21/18, 2001, Consulting, 2.8,983,"Seattle, WA",15,8,1257,77,84, $1 to $2 billion (USD) per year,Lower salary compared to market industry Some roles can be more staff aug rather than consulting Our current 401k match is 50 of contributions up to 6 of your salary in total,Higher management really care about your work life balance Collaborative space with great people,10/23/17,,www.slalom.com,
120,4.6,99,St. Jude Children's Research Hospital, Nonprofit Organization,4.6,1001 to 5000 employees,10/21/18, 1962, Health Care Services & Hospitals, 3.0,136,"Memphis, TN",9,7,584,84,92, $1 to $2 billion (USD) per year,Commute Traffic in Memphis can be quite infuriating There are no cons to working here,Cutting edge research institutional funding great benefits 7 St Really is a great place to work,10/23/17,,www.stjude.org,
62,4.4,97,Intuitive Surgical, Company - Public (ISRG) ,4.5,1001 to 5000 employees,10/21/18, 1995, Health Care Products Manufacturing, 3.1,188,"Sunnyvale, CA",16,13,401,71,89, $2 to $5 billion (USD) per year,Work life balance is basically enforced at a personal level there s no explicit pressure to work a lot but many people do so,Innovative company that is pushing the bounds of surgery Great product and a great company culture,10/23/17,ISRG,www.intuitive.com,
719,4.6,96,Salesforce, Company - Public (CRM) ,4.3,10000+ employees,10/21/18, 1999, Computer Hardware & Software, 3.2,"5,489","San Francisco, CA",9,5,5125,86,86, $10+ billion (USD) per year,Difficult to maintain work life balance There is no cons for working here,Salesforce is really a healthy organization The work life balance is amazing,10/23/17,CRM,www.salesforce.com,
321,4.5,91,Southwest Airlines, Company - Public (LUV) ,4.3,10000+ employees,10/21/18, 1967, Airlines, 2.6,"1,133","Dallas, TX",8,12,1777,80,84, $10+ billion (USD) per year,Sometimes there s mandatory overtime but they make you aware of that going in The airline doesn t fly to Asia or Europe,Great company culture with great benefits Flight Benefits amp other travel benefits it s such an awesome perk to be able to jump on a plane anytime I need without too much hassle,10/23/17,LUV,www.southwest.com,
198,4.0,92,lululemon, Company - Public (LULU) ,4.1,1001 to 5000 employees,10/21/18, 1998," Department, Clothing, & Shoe Stores", 2.4,"1,084","Vancouver, BC (Canada)",17,21,1745,62,83, $2 to $5 billion (USD) per year,work life balance not always the best Full time commitment for part time employees,a great work environment for youth They pay for your fitness classes,10/23/17,LULU,www.lululemon.com,
1243,4.6,92,Google, Company - Public (GOOG) ,4.4,10000+ employees,10/21/18, 1998, Internet, 3.3,"9,869","Mountain View, CA",16,23,9301,61,86, $10+ billion (USD) per year,Work life balance is questionable It s a big company with inexperienced management,It s great they always have free food Very smart people with great work life balance,10/23/17,GOOG,www.google.com,
488,4.7,91,Facebook, Company - Public (FB) ,4.4,10000+ employees,10/21/18, 2004, Internet, 3.1,"5,197","Menlo Park, CA",21,22,1445,57,87, $10+ billion (USD) per year,Work life balance can be better sometimes long hours and disconnect to overall strategy,Free food great atmosphere like a university campus Working with really smart people,10/23/17,FB,www.facebook.com,
319,4.7,97,LinkedIn, 2003,4.3,10000+ employees,10/21/18,, Subsidiary or Business Segment, 3.0,"1,657","Mountain View, CA",32,15,2519,53,84, Internet,High targets work life balance little visibility into how decisions are made by higher management After awhile you see how poorly trained some of the middle management it,You can have a very good work life balance Smart colleagues challenging problems to solve lots of free food,10/23/17,,www.linkedin.com,
167,4.7,94,Boston Consulting Group, Company - Private,4.2,Unknown,10/21/18, 1963, Consulting, 3.7,"1,600","Boston, MA",12,17,2186,71,83, $5 to $10 billion (USD) per year,Tough work life balance typical to consulting Long hours same as any top tier consulting firm,Working with Wonderful smart people very supportive culture with great people that want to help you grow and succeed,10/23/17,,www.bcg.com,
75,4.8,94,Procore Technologies, Company - Private,4.1,1001 to 5000 employees,10/21/18, 2002, Computer Hardware & Software, 2.9,349,"Carpinteria, CA",19,9,350,72,78, Unknown / Non-Applicable,These are not cons as such but be prepared to embrace that Procore has an American culture which is very enthusiastic no cons I can currently think of,As an employee that has been at Procore for 5 Great Work Life Balance and amazing location,10/23/17,,www.procore.com,
156,4.3,95,In-N-Out Burger, Company - Private,4.3,10000+ employees,10/21/18, 1948, Fast-Food & Quick-Service Restaurants, 2.3,408,"Irvine, CA",7,15,1414,78,88, $100 to $500 million (USD) per year,fast paced environment you are not off the shift until the manager says so You have to work your way into a full time position,its a good company great pay flexible schedules Fast paced work environment with good pay,10/23/17,,www.in-n-out.com,
32,4.4,96,Zoom Video Communications, Company - Public (ZM) ,4.7,1001 to 5000 employees,10/21/18, 2011, IT Services, 2.8,76,"San Jose, CA",32,3,239,65,94, Unknown / Non-Applicable,Growing pains things are constantly changing No 401k match or tuition reimbursement,Zoom puts all of those companies to shame The product is incredible and the mantra of Delivering Happiness is completely legit,10/23/17,ZM,www.zoom.us,
113,4.8,99,Bain & Company, Company - Private,4.6,5001 to 10000 employees,10/21/18, 1973, Consulting, 3.6,"1,203","Boston, MA",7,18,2679,75,94, $2 to $5 billion (USD) per year,Client service model can mean long hours Work life balance pode melhorar,Great people amp team A Bainie never lets another Bainie fail World class professional development,10/23/17,,www.bain.com,
117,4.1,93,Gensler, Company - Private,4.0,5001 to 10000 employees,10/30/16, 1965, Architectural & Engineering Services, 2.7,278,"San Francisco, CA",15,17,882,68,79, $1 to $2 billion (USD) per year,Work life balance will suffer a little if you want to advances Sometimes long hours and politics rule every single aspect,Gensler has an incredibly creative work environment Great people who make it a fun environment,11/2/15,,www.gensler.com,
147,4.2,82,QuikTrip, Company - Private,3.7,5001 to 10000 employees,10/30/16, 1958, Convenience Stores & Truck Stops, 2.3,314,"Tulsa, OK",6,12,1409,82,70, $1 to $2 billion (USD) per year,there are no breaks while working so you have to find time for yourself to eat and drink Part time Clerks don t get many benefits vs that of full time workers,Great pay fast paced good benefits Good pay for the convenience store industry,11/2/15,,www.quiktrip.com,
107,4.1,97,E. & J. Gallo Winery, Company - Private,4.5,5001 to 10000 employees,10/30/16, 1933, Food & Beverage Manufacturing, 2.9,378,"Modesto, CA",10,12,451,78,92, $2 to $5 billion (USD),with a strong consumer focus Work life balance can be a challenging at times,Work Life Balance with many resources available Great people and products,11/2/15,,www.gallocareers.com,
47,3.2,91,Aegis Living, Company - Private,4.1,1001 to 5000 employees,10/30/16, 1997, Health Care Services & Hospitals, 2.7,78,"Bellevue, WA",14,14,596,72,74, Unknown / Non-Applicable,Having 2 care managers in one dept where a few residents are two person assists leaves other residents waiting and potentially with minimal care No cons have been presented at this time,Each day that I come to work I am always greeted by so many smiles Beautiful and clean work environment,11/2/15,,www.aegisliving.com,
380,4.4,80,IKEA, Company - Private,3.3,10000+ employees,10/30/16, 1943, Home Furniture & Housewares Stores, 2.5,"1,265","Conshohocken, PA",10,12,1045,78,55, Unknown / Non-Applicable,work life balance mostly on paper Inconsistent scheduling for part time employees,Great benefits coworkers oriented plus advancement opportunities Good benefits good work life balance,11/2/15,,www.seeacareerwithus.com,
207,4.1,90,Mayo Clinic, Nonprofit Organization,4.1,10000+ employees,10/30/16, Unknown, Health Care Services & Hospitals, 3.1,293,"Rochester, MN",11,20,1162,69,80, $10+ billion (USD) per year,with 5 days would provide a better work life balance geographic location is not the greatest,Great benefits opportunities to grow Good benefits and excellent management,11/2/15,,www.mayoclinic.org,
79,3.6,90,Raising Cane's, Company - Private,3.8,10000+ employees,10/30/16, 1996, Casual Restaurants, 2.0,238,"Baton Rouge, LA",13,14,837,73,74, $1 to $2 billion (USD) per year,Very high standards and fast paced work environment Long hours but because of it I get 3 days off each week,Fun work environment with lots of opportunity for growth as the company is still growing Fun job fast paced great management,11/2/15,,www.raisingcanes.com,
214,4.0,92,Texas Instruments, Company - Public (TXN) ,4.0,10000+ employees,10/30/16, 1930, Electrical & Electronic Manufacturing, 3.0,"1,126","Dallas, TX",8,21,2349,71,77, $10+ billion (USD) per year,Poor work life balance in the fabs Always under constant stress and worries upper management will come down at you for every little thing,TI provides the best work life balance It has very good work environment,11/2/15,TXN,www.ti.com,
225,4.3,89,BASF, Company - Public,3.5,10000+ employees,10/30/16, 1865, Chemical Manufacturing, 3.0,700,"Florham Park, NJ",12,18,520,70,67, $5 to $10 billion (USD) per year,Falta assiduidade no desenvolvimento da equipe em um plano de carreira m um plano de desenvolvimento claro para os funcion,Empresa ainda incentiva a cultura do work life balance cios muitas pessoas competentes e motivadas no ambiente de trabalho,11/2/15,,www.basf.com,
229,4.1,90,SpaceX, Company - Private,4.1,5001 to 10000 employees,10/30/16, 2002, Aerospace & Defense, 3.4,610,"Hawthorne, CA",13,18,1177,69,81, Unknown / Non-Applicable,Long hours makes personal life hard to do anything Work life balance is hard to maintain,You get to walk around a rocket factory and see rockets being built Fast paced manufacturing environment,11/2/15,,www.spacex.com,
109,4.2,80,FedEx Freight, Subsidiary or Business Segment,3.9,10000+ employees,10/30/16, 2000, Trucking, 2.3,132,"Memphis, TN",4,16,940,80,81, $2 to $5 billion (USD) per year,There is no immediate full time Part time hours no fulltime position,Good Pay Understanding Management Fast paced Great Pay and learning experience,11/2/15,,www.fedex.com/us/freight,
198,4.0,92,lululemon, Company - Public (LULU) ,4.1,1001 to 5000 employees,10/30/16, 1998," Department, Clothing, & Shoe Stores", 2.4,"1,084","Vancouver, BC (Canada)",17,21,1745,62,83, $2 to $5 billion (USD) per year,work life balance not always the best Full time commitment for part time employees,a great work environment for youth They pay for your fitness classes,11/2/15,LULU,www.lululemon.com,
2670,4.4,97,Microsoft, Company - Public (MSFT) ,4.2,10000+ employees,10/30/16, 1975, Computer Hardware & Software, 3.1,"8,014","Redmond, WA",13,22,20565,65,87, $10+ billion (USD) per year,May need more work life balance but still managable Poor review system promotes mediocrity,They have a great work life balance with lots of flexibility Good salary Smart people Beautiful workplaces,11/2/15,MSFT,www.microsoft.com,
2303,4.5,91,Apple, Company - Public (AAPL) ,4.0,10000+ employees,10/30/16, 1976, Computer Hardware & Software, 3.0,"7,031","Cupertino, CA",15,20,14922,65,77, $10+ billion (USD) per year,Work life balance is non existent working in a mall with long hours,Great company with great benefits It s a really fun work environment,11/2/15,AAPL,www.apple.com,
102,4.5,86,Airbnb, Company - Private,3.9,5001 to 10000 employees,10/30/16, 2008," Hotels, Motels, & Resorts", 3.1,825,"San Francisco, CA",32,22,305,46,75, Unknown / Non-Applicable,Amazing work environment great benefits inside the office Often decision makers are lacking and work life balance can be challenging,500 in Airbnb credits per quarter free food and all the cool Silicon Valley perks,11/2/15,,www.airbnb.com,
714,4.4,92,Costco Wholesale, Company - Public (COST) ,4.0,10000+ employees,10/30/16, 1976, General Merchandise & Superstores, 2.5,"1,204","Issaquah, WA",12,16,6001,72,82, $10+ billion (USD) per year,No weekends off unless you are a full time employee if limited part time hard to move to,great benefits even for part time employees Great pay for little experience,11/2/15,COST,www.costco.com,
397,4.2,88,Trader Joe's, Company - Private,4.2,10000+ employees,10/30/16, 1967, Grocery Stores & Supermarkets, 2.3,811,"Monrovia, CA",11,17,2765,72,84, $10+ billion (USD) per year,Management is not a diverse representation of the crew members Mates captains sometimes pick favorites which leads to distrust in the store,Awesome place to work and great benefits Work environment is stellar I ve been working there for 6 years,11/2/15,,www.traderjoes.com,
410,4.3,91,Genentech, 1976,3.9,10000+ employees,10/30/16,, Subsidiary or Business Segment, 3.1,706,"South San Francisco, CA",11,20,1934,69,74, Biotech & Pharmaceuticals,Work life balance varies greatly depending on your function or manager Hard to find opportunities for full time,Great benefits including good bonuses Amazing company to work for work life balance couldn t be better,11/2/15,,www.gene.com,
235,2.5,93,Keller Williams, Company - Private,4.2,201 to 500 employees,10/30/16, 1983, Real Estate, 2.3,472,"Austin, TX",12,18,2300,70,81, $100 to $500 million (USD) per year,Too many new agents who don t know what they are doing There are no cons when you are your own business manager,Great training program for new agents An agent can also participate in profit sharing if you recruit other successful agents to the brokerage,11/2/15,,www.kw.com,
193,3.9,98,NVIDIA, Company - Public (NVDA) ,4.6,10000+ employees,10/30/16, 1993, Computer Hardware & Software, 3.2,"1,089","Santa Clara, CA",17,24,809,59,94, $5 to $10 billion (USD) per year,Work life balance is sometimes a problem I found No cons as of working here,Great work culture free food cutting edge technology Good work environment good compensation,11/2/15,NVDA,www.nvidia.com,
216,4.7,99,Zillow, Company - Public (Z) ,3.9,1001 to 5000 employees,10/30/16, 2005, Real Estate, 2.9,670,"Seattle, WA",31,14,750,55,72, $500 million to $1 billion (USD) per year,Very little work life balance in sales positions Then upper management says asks why security hasn t solved for X problem,We also get a lot of vacation time which is nice as Zillow really cares about it s employee s Work Life balance You can t deny that Zillow has pretty great benefits,11/2/15,Z,www.zillow.com,
321,4.5,91,Southwest Airlines, Company - Public (LUV) ,4.3,10000+ employees,10/30/16, 1967, Airlines, 2.6,"1,133","Dallas, TX",8,12,1777,80,84, $10+ billion (USD) per year,Sometimes there s mandatory overtime but they make you aware of that going in The airline doesn t fly to Asia or Europe,Great company culture with great benefits Flight Benefits amp other travel benefits it s such an awesome perk to be able to jump on a plane anytime I need without too much hassle,11/2/15,LUV,www.southwest.com,
405,4.1,97,H E B, Company - Private,4.2,10000+ employees,10/30/16, 1905, Grocery Stores & Supermarkets, 2.5,772,"San Antonio, TX",11,14,3410,75,86, $10+ billion (USD) per year,full benefits are only for full time employees Part time hours can unreliable sometimes,Treated the partners fairly and good pay Flexible schedule vacation hours for part timers,11/2/15,,www.heb.com,
532,4.4,94,Johnson & Johnson, Company - Public (JNJ) ,4.0,10000+ employees,10/30/16, 1887, Biotech & Pharmaceuticals, 2.9,"1,482","New Brunswick, NJ",13,21,5293,66,84, $10+ billion (USD) per year,A J J consumo entrou em um looping muito negativo de resultados que j Work life balance can be tricky in some departments due to lack of resources,Great work life balance at the office rios descontos em produtos J J fretado sem descontos para os estagi,11/2/15,JNJ,www.jnj.com,
147,4.4,77,Akamai, Company - Public (AKAM) ,3.4,5001 to 10000 employees,10/30/16, 1998, IT Services, 3.1,557,"Cambridge, MA",23,14,348,63,64, $2 to $5 billion (USD) per year,Work Life Balance could be better no cons to say its great company,Best place to work work life balance Amazing work and great work culture,11/2/15,AKAM,www.akamai.com,
94,4.0,89,SAP Concur, 1993,3.8,1001 to 5000 employees,10/30/16,, Company - Public, 2.8,315,"Bellevue, WA",27,13,762,60,66, Computer Hardware & Software,Uncertainty around effects of SAP acquisition It doesn t pay as well as amazon or microsoft but thats not a big minus for having a great work life balance,Work life balance is heavy on the life side Nice team great people fun intern events,11/2/15,,www.concur.com,
154,4.2,97,DocuSign, Company - Public (DOCU) ,4.6,1001 to 5000 employees,10/30/16, 2003, Computer Hardware & Software, 2.8,337,"San Francisco, CA",38,14,999,48,89, $500 million to $1 billion (USD) per year,Some growing pains around processes 401K match needed once we go public,DocuSign really lives up to the expectations for company culture amp work life balance DocuSign hits the trifecta great team great product and great work,11/2/15,DOCU,www.docusign.com,
293,4.4,90,Memorial Sloan Kettering, Nonprofit Organization,3.9,10000+ employees,10/30/16, 1884, Health Care Services & Hospitals, 3.0,542,"New York, NY",14,18,1261,68,76, $2 to $5 billion (USD) per year,Wished they were more MSK locations in Florida Easy to get lost and depressed in work if you can not find the work life balance,Great Benefits good pay great work life balance good benefits great area to work in,11/2/15,,www.mskcc.org,
440,4.1,88,Delta Air Lines, Company - Public (DAL) ,4.2,10000+ employees,10/30/16, 1928, Airlines, 3.0,"2,721","Atlanta, GA",7,17,2588,76,86, $10+ billion (USD) per year,Specific co op position did not lead into full time opportunities for a similar position At the time Ready Reserve was 5 hours 5 days a week,Flight benefits are absolutely great travel benefits and corporate culture,11/2/15,DAL,www.deltajobs.net/career_destinations.htm,
595,4.5,93,Intuit, Company - Public (INTU) ,4.3,5001 to 10000 employees,10/30/16, 1983, Computer Hardware & Software, 3.0,"1,133","Mountain View, CA",24,16,4221,60,86, $2 to $5 billion (USD) per year,Some business units have less work life balance respect Too much pressure for middle management,The company has a good work life balance One of the best companies with great benefits,11/2/15,INTU,www.intuit.com,
135,4.2,94,The Church of Jesus Christ of Latter-day Saints, Religious Organizations,4.0,10000+ employees,10/30/16, Nonprofit Organization, Unknown / Non-Applicable, 2.7,123,"Salt Lake City, UT",7,14,633,79,77,, Not a lot of opportunity to work full time non contingent,Great work environment and coworkers Great benefits,11/2/15,,www.churchofjesuschrist.org,
83,4.0,91,Forrester, Company - Public (FORR) ,4.1,1001 to 5000 employees,10/30/16, 1983, Research & Development, 3.1,217,"Cambridge, MA",22,17,786,61,83, $100 to $500 million (USD) per year,Its incredible to be surrounded by such smart people all the time Food options for purchase are somewhat limited,Great work life balance ,11/2/15,FORR,www.forrester.com,
719,4.6,96,Salesforce, Company - Public (CRM) ,4.3,10000+ employees,10/30/16, 1999, Computer Hardware & Software, 3.2,"5,489","San Francisco, CA",9,5,5125,86,86, $10+ billion (USD) per year,Difficult to maintain work life balance There is no cons for working here,Salesforce is really a healthy organization The work life balance is amazing,11/2/15,CRM,www.salesforce.com,
135,4.2,97,MathWorks, Company - Private,4.2,1001 to 5000 employees,10/30/16, 1984, Computer Hardware & Software, 2.8,"1,885","Natick, MA",14,29,901,57,92, $1 to $2 billion (USD) per year,Limited work from home allowance Slow and or lack of career growth and if their are plans for growth they aren t communicated,Great work life balance and work culture Great Culture very open work environment,11/2/15,,www.mathworks.com,
519,4.3,96,SAP, Company - Public (SAP) ,4.5,10000+ employees,10/30/16, 1972, Computer Hardware & Software, 2.9,"2,184","Walldorf, Baden-Württemberg (Germany)",13,13,11351,74,92, $10+ billion (USD) per year,Work life balance sometimes is a problem Honestly no cons for this company,Good work life balance is encouraged Everything is good especially the work environment,11/2/15,SAP,www.sap.com/careers,
135,4.1,93,Paylocity, Company - Public (PCTY) ,4.2,1001 to 5000 employees,10/30/16, 1997, Computer Hardware & Software, 2.9,246,"Schaumburg, IL",18,9,1052,73,83, $100 to $500 million (USD) per year,Still a new growing comapany with some growing pains but other than that I have no complaints There is no Cons to working at Paylocity,Good place to work to achieve work life balance The amount of money you can make at Paylocity is almost a little hard to believe especially considering you get to work from home,11/2/15,PCTY,www.paylocity.com,
176,4.3,92,Nestlé Purina U.S., 1894,4.2,10000+ employees,10/30/16,, Subsidiary or Business Segment, 3.1,453,"Saint Louis, MO",17,19,729,64,85, Consumer Products Manufacturing,Could have a better Work Life balance Long hours sometimes they can force you to stay extra hours to cover,There is an excellent work life balance Bringing well behaved pets to work is a huge perk,11/2/15,,www.nestlepurinacareers.com,
112,3.9,95,The Clorox Company, Company - Public (CLX) ,4.2,5001 to 10000 employees,10/30/16, 1913, Consumer Products Manufacturing, 3.0,183,"Oakland, CA",15,22,789,63,88, $5 to $10 billion (USD) per year,Company is heavily reliant on data almost too much and at the cost of quick decision making Encourage work life balance but not really enforced based on workload given,Excellent focus on work life balance Great people focused on great consumer brands,11/2/15,CLX,www.thecloroxcompany.com,
238,4.8,97,McKinsey & Company, Company - Private,4.5,10000+ employees,10/30/16, 1926, Consulting, 3.8,"2,214","New York, NY",13,21,3585,66,91, Unknown / Non-Applicable,Can require long hours at times Work life balance is absolutely brutal,Working with incredibly smart people who are always pushing you to get to a better answer Great people truly global opportunities,11/2/15,,www.mckinsey.com,
127,4.0,97,Power Home Remodeling, Company - Private,4.6,1001 to 5000 employees,10/30/16, 1992, Construction, 2.4,378,"Chester, PA",19,17,1644,64,91, $500 million to $1 billion (USD) per year,The schedule can be very demanding at times with late nights so a work life balance can be tricky the only downside is the long hours but that s about it,Amazing earning potential just an overall great place to work This is the most positive work environment that I have ever come across in all my years of employment,11/2/15,,www.powerhrg.com,
370,4.6,97,Adobe, Company - Public (ADBE) ,4.1,10000+ employees,10/30/16, 1982, Computer Hardware & Software, 3.1,"1,072","San Jose, CA",23,15,1141,62,84, $5 to $10 billion (USD) per year,i think there is no cons from my side Some Teams does not acheive work life balance,Awesome company with great work life balance Great benefits and good work life balance,11/2/15,ADBE,www.adobe.com,
319,4.7,97,LinkedIn, 2003,4.3,10000+ employees,10/30/16,, Subsidiary or Business Segment, 3.0,"1,657","Mountain View, CA",32,15,2519,53,84, Internet,High targets work life balance little visibility into how decisions are made by higher management After awhile you see how poorly trained some of the middle management it,You can have a very good work life balance Smart colleagues challenging problems to solve lots of free food,11/2/15,,www.linkedin.com,
156,4.3,95,In-N-Out Burger, Company - Private,4.3,10000+ employees,10/30/16, 1948, Fast-Food & Quick-Service Restaurants, 2.3,408,"Irvine, CA",7,15,1414,78,88, $100 to $500 million (USD) per year,fast paced environment you are not off the shift until the manager says so You have to work your way into a full time position,its a good company great pay flexible schedules Fast paced work environment with good pay,11/2/15,,www.in-n-out.com,
161,4.8,97,Fast Enterprises, Company - Private,4.3,1001 to 5000 employees,10/30/16, 1997, IT Services, 2.7,541,"Centennial, CO",10,15,719,75,86, $25 to $50 million (USD) per year, Might have to work long hours from time to time,You get the opportunity to work for a private company with great benefits while benefiting society Paid overtime,11/2/15,,www.fastenterprises.com,
251,4.8,91,World Wide Technology, Company - Private,3.8,5001 to 10000 employees,10/30/16, 1990, Computer Hardware & Software, 2.8,180,"Maryland Heights, MO",24,13,896,63,72, $10+ billion (USD) per year,It is seeming to get a little bit better as of late but it is visible on the floor that not everyone is a fit for WWT Wait that there job i understand the the core values but that also is a funny subject,WWT has great people who work hard but also are fun to be around Consistent messaging around leadership and Core Values,11/2/15,,www.wwt.com,
1243,4.6,92,Google, Company - Public (GOOG) ,4.4,10000+ employees,10/30/16, 1998, Internet, 3.3,"9,869","Mountain View, CA",16,23,9301,61,86, $10+ billion (USD) per year,Work life balance is questionable It s a big company with inexperienced management,It s great they always have free food Very smart people with great work life balance,11/2/15,GOOG,www.google.com,
167,4.7,94,Boston Consulting Group, Company - Private,4.2,Unknown,10/30/16, 1963, Consulting, 3.7,"1,600","Boston, MA",12,17,2186,71,83, $5 to $10 billion (USD) per year,Tough work life balance typical to consulting Long hours same as any top tier consulting firm,Working with Wonderful smart people very supportive culture with great people that want to help you grow and succeed,11/2/15,,www.bcg.com,
488,4.7,91,Facebook, Company - Public (FB) ,4.4,10000+ employees,10/30/16, 2004, Internet, 3.1,"5,197","Menlo Park, CA",21,22,1445,57,87, $10+ billion (USD) per year,Work life balance can be better sometimes long hours and disconnect to overall strategy,Free food great atmosphere like a university campus Working with really smart people,11/2/15,FB,www.facebook.com,
113,4.8,99,Bain & Company, Company - Private,4.6,5001 to 10000 employees,10/30/16, 1973, Consulting, 3.6,"1,203","Boston, MA",7,18,2679,75,94, $2 to $5 billion (USD) per year,Client service model can mean long hours Work life balance pode melhorar,Great people amp team A Bainie never lets another Bainie fail World class professional development,11/2/15,,www.bain.com,
799,3.9,91,KPMG, Subsidiary or Business Segment,3.7,10000+ employees,10/22/17, 1987, Accounting, 2.9,"6,232","New York, NY",11,19,2915,70,73, $2 to $5 billion (USD) per year,Long working hours even as an intern Fairly high work pressure leading to a moderate work life balance,Work life balance is good for consulting Great work environment to be apart of,11/1/16,,us-jobs.kpmg.com,
693,3.9,80,Walt Disney Company, Company - Public (DIS) ,3.8,10000+ employees,10/22/17, 1923, Motion Picture Production & Distribution, 2.7,"1,311","Burbank, CA",11,18,4101,71,75, $10+ billion (USD) per year,Salary not so good and long hours without break Chance of signing on full time is only fifty fifty even if you are a good competent worker,Great company with great benefits Good work life balance benefits,11/1/16,DIS,www.disney.com,
